asin,title,imgUrl,productURL,stars,reviews,price,isBestSeller,boughtInLastMonth,categoryName
B09M8P28FC,"ELEGOO 2PCS Metal Resin Tank Mars 3 Series 3D Printer Accessories,FEP Pre-Installed, with Lid, Resin Vat Mars 3 and Mars 3 Pro",https://m.media-amazon.com/images/I/51Lyr1+rQUL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09M8P28FC,4.7,466,30.99,False,50,3D Printers
B0C4GGGGWB,"Official Creality K1 Max 3D Printer, 600mm/s Max High-Speed 3D Printers Large Printing Size 300x300x300mm with Auto Leveling, Dual Cooling, Smart AI Function, 32mm³/s Flow Hotend and Out-of-The-Box",https://m.media-amazon.com/images/I/71ysDhlbTvL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0C4GGGGWB,3.0,2,889.0,False,0,3D Printers
B09X2Y9RL8,"MALYAN Mini 3D Printer M200 - Fully Assembled 3D Printers for Kids and Beginners, Free Sample PLA Filament, Small Footprint Perfect for a Desktop, Office or The Classroom, Printing Size 120x120x120mm",https://m.media-amazon.com/images/I/51WyGLwmNLL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09X2Y9RL8,3.7,20,138.59,False,0,3D Printers
B09FGKPKY6,"Flashforge Adventurer 4 Leveling-Free 3D Printer with Quick Removable 240℃/265℃ Hign Temp Nozzle, Flexible CNC Platform and HEPA13 air Filter, Remote Video Monitoring,Build Volume:220×200×250mm",https://m.media-amazon.com/images/I/51s+7vBlISL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09FGKPKY6,4.2,75,599.0,False,0,3D Printers
B09VNKT6BS,"Sovol SV01 Pro 3D Printer with Metal Direct Drive Extruder, CR Touch Auto Bed Levelling Sensor, 32-bit Silent Motherboard TMC2208 and Flexible Magnetic Bed, Printing Size 280 x 240 x 300 mm",https://m.media-amazon.com/images/I/71IL5x0DExL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09VNKT6BS,4.0,529,263.99,False,0,3D Printers
B092S93Q7J,"VOXELAB Aries 3D Pinter, Dual Z-axis Rails & Fully Assembled Semi-auto Leveling FDM Printer with Filament Sensor, Carborundum Glass Platform, WIFI Printing 7.87''(L) x7.87''(W)x7.87''(H) Printing Size",https://m.media-amazon.com/images/I/61ciuglafIL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B092S93Q7J,4.1,217,239.0,False,0,3D Printers
B0C3CKT79Q,"Snapmaker J1s 3D Printer, IDEX 3D Printer 5X Fast Speed, FDM 3D Printers with Independent Dual Extruder Direct Drive,Dual-Material Printing,4 Printing Modes,All Metal Structure,Large Print Volume",https://m.media-amazon.com/images/I/61l-q+AviNL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0C3CKT79Q,4.6,3,1585.0,False,0,3D Printers
B01KVJCXWM,"XYZ Printing da Vinci miniMaker 3D printer (fully assembled), Open Filament, FREE for: £12 300g PLA filament, £15 maintenance tools, modelling software, and video tutorials, 15x15x15cm Built Vol.",https://m.media-amazon.com/images/I/61Z8ZxQeL7L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B01KVJCXWM,3.8,56,219.99,False,0,3D Printers
B09ZQQLCKR,"Official Creality Ender 3 S1 Plus 3D Printer, with “Sprite” Direct dual-gear Extruder, CR-Touch, UI interface, 32-bit silent mainboard, 300 * 300 * 300mm Large Build Volume",https://m.media-amazon.com/images/I/51uqOUTCkUL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09ZQQLCKR,4.2,55,406.0,False,0,3D Printers
B0BG2VH5DX,"MALYAN M300 Mini Delta 3D Printer - Fully Assembled FDM 3D Printers for Kids and Beginners, Free Sample PLA Filament and MicroSD Card Preloaded with Printable 3D Models, Printing Size 110x120 mm",https://m.media-amazon.com/images/I/6118jfaCN0L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BG2VH5DX,2.5,3,189.99,False,0,3D Printers
B07BR3F9N6,Official Creality Ender 3 3D Printer Fully Open Source with Resume Printing Function DIY 3D Printers Printing Size 220x220x250mm,https://m.media-amazon.com/images/I/61L4aoIqYOL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07BR3F9N6,4.3,14767,165.0,False,0,3D Printers
B07KSBNBS1,Flashforge SZ11S 3D compatibility Printer,https://m.media-amazon.com/images/I/71twOxlDVAL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07KSBNBS1,2.0,1,1759.97,False,0,3D Printers
B08K3GC818,"3D Printer for Beginners, Kids or Teens (Easythreed X2 mini 3D Printer)",https://m.media-amazon.com/images/I/713IV5x-XmL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B08K3GC818,3.1,32,99.0,False,0,3D Printers
B09M91DL96,Creality 3D Ender-2 Pro 3D printer Fused Deposition Modeling (FDM),https://m.media-amazon.com/images/I/51U4TZ9pLYL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09M91DL96,5.0,1,169.0,False,0,3D Printers
B0BPX7LZGB,"FLSUN Official V400 3D Printer Moving Speed Fastest 600mm/s 25000+ mm/s² FDM Delta 3D Printer with 7"" Klipper Firmware Pad, 300℃ Nozzle, Direct Drive Extruder, PEI Bed, Printing Size Φ11.8""x16""",https://m.media-amazon.com/images/I/61Jv1A61q6L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BPX7LZGB,4.7,19,1165.63,False,0,3D Printers
B08NDM71Q6,"Fokoos Odin-5 F3 3D Printer, with Silent Motherboard, Integrated Extruder, and Double Z-Axis, 99% Pre-assembled Foldable FDM 3D Printer, 235 * 235 * 250mm Print Size",https://m.media-amazon.com/images/I/71AdIQWwlQL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B08NDM71Q6,4.0,330,279.99,False,0,3D Printers
B0C58854D3,Creality Ender 3 Neo 3D Printers with CR Touch Auto Leveling Bed Silent Mainboard Full-Metal Extruder Carborundum Platform DIY Ender 3D Printer for Kids Beginners Printing Size 8.66x8.66x9.84 inch,https://m.media-amazon.com/images/I/71Z7puESCeL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0C58854D3,3.2,13,239.0,False,0,3D Printers
B09VGB9SP7,"Flashforge Creator Pro 2 3D Printer, Independent Dual Extruder,Residual filament leak-proof design,Duplicate/Mirror Printing Mode,Optimized Build Platform,Metal Frame Structure And Acrylic Covers",https://m.media-amazon.com/images/I/51qLF4nE8tL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09VGB9SP7,4.3,6,399.0,False,0,3D Printers
B0C9QJZC9K,"ELEGOO Saturn 3 UItra Resin 3D Printer, 10-Inch 12K Mono LCD, Linux OS, Wi-Fi Transfer, Large Printing Size of 8.62x4.84x10.24 Inch",https://m.media-amazon.com/images/I/61KtJjfgOdL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0C9QJZC9K,4.4,145,599.99,False,0,3D Printers
B0C9SZ7DCR,"ELEGOO Neptune 4 3D Printer, 500mm/s High-Speed Fast FDM Printer with Klipper Firmware, Auto Leveling and Direct Extruder, Easy Assembly for Beginners, 225x225x265mm Printing Size",https://m.media-amazon.com/images/I/61PK8qUNnoL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0C9SZ7DCR,4.8,46,299.99,True,100,3D Printers
B0BMSHD23Z,MakerBot Sketch Large 3D Printer,https://m.media-amazon.com/images/I/41YUy2U3w+L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BMSHD23Z,4.0,1,3763.31,False,0,3D Printers
B0BLGMYJYC,"Mintion Beagle Camera for 3D Printer, Remotely Monitor and Control, Plug and Play, with 32G Micro SD card, Remote Monitoring WiFi Connection Support PC/APP",https://m.media-amazon.com/images/I/61UYSlIY1+L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BLGMYJYC,4.3,42,72.99,False,0,3D Printers
B09LLR41Y9,"MALYAN MA20 V2 Belt 3D Printer, Infinite Z-Axis Belt Printer with Touchscreen, Silent Motherboard, Wifi Print, Resume Printing, For Cosplay Props Print, Farm Batch Printing,Printing Size 200×180×∞mm",https://m.media-amazon.com/images/I/61+WYVHcTHL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09LLR41Y9,5.0,1,499.99,False,0,3D Printers
B07P64GQKV,"Official Creality Ender 3 Neo 3D Printer, with 32-bit Silent Mainboard, CR Touch, Full-metal Bowden Extruder, Large Corrugated Heat Sink, Carborundum Glass Plate Surface, Printing Size 220*220*250 mm",https://m.media-amazon.com/images/I/61TTRdD9RRL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07P64GQKV,4.5,1437,187.0,False,0,3D Printers
B0BYNSL59W,"Creality Ender-3 S1 3D Printer with Direct Drive Extruder CR Touch Auto Leveling High Precision Double Z-axis Screw Silent Board Printing Size 8.6X8.6X10.6in, Upgrade Ender 3 V2 for Beginners",https://m.media-amazon.com/images/I/61+cFBUGjML._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BYNSL59W,5.0,1,399.0,False,0,3D Printers
